U0(mV)	U90(mV)	I(mA)	errorU0(%)	errorU90(%)	TxV(V)	
06.02.2019	18:00:00 ! data and time
7.52 ! temperature c
13.69 ! External battery voltage V
415.87911	2.11214	0.1	0	0	7	
423.16668	2.21245	0.1	0	0	7	
416.84259	2.28403	0.1	0	1	7	
415.89288	2.2971	0.1	0	0	7	
255.8126	1.88699	0.1	0	0	6	
253.83024	1.78575	0.1	0	0	6	
244.73837	1.66077	0.1	0	1	6	
261.42974	1.71317	0.1	0	2	6	
281.53024	1.7107	0.1	0	1	6	
292.13217	1.81979	0.1	0	1	6	
265.51528	1.63718	0.1	0	0	7	
263.12231	1.6339	0.1	0	0	7	
273.19561	1.656	0.1	0	1	6	
292.27774	1.76338	0.1	0	1	7	
296.79022	1.83726	0.1	0	1	7	
167.33888	1.43396	0.1	0	4	6	
182.47972	1.55608	0.1	0	3	6	
184.27859	1.37301	0.1	0	1	6	
183.3332	1.29377	0.1	0	0	7	
196.50448	1.37747	0.1	0	2	7	
186.33236	1.28855	0.1	0	0	7	
190.3486	1.3253	0.1	0	0	7	
190.66833	1.33559	0.1	0	1	7	
124.78791	1.19876	0.1	0	3	6	
127.02425	1.06255	0.1	0	3	7	
130.34635	1.08731	0.1	0	0	7	
133.32612	1.08085	0.1	0	0	7	
128.79119	1.02199	0.1	0	0	7	
88.87691	0.87445	0.1	0	0	7	
91.17601	0.90914	0.1	0	1	7	
08.02.2019	18:00:00					
9.07						
13.72						
519.08178	2.44211	0.1	0	0	5	
537.56512	2.53236	0.1	0	0	6	
592.51129	2.85364	0.1	0	0	6	
576.76629	2.82393	0.1	0	0	6	
581.6054	2.69639	0.1	0	0	6	
593.66992	2.83211	0.1	0	1	6	
521.43524	2.19481	0.1	0	0	5	
683.05444	3.33702	0.1	0	0	6	
562.6148	2.37671	0.1	0	2	6	
546.01409	2.51593	0.1	0	0	6	
580.85821	2.699	0.1	0	1	6	
549.86529	2.57251	0.1	0	0	6	
577.23779	2.7096	0.1	0	0	6	
591.76037	2.95645	0.1	0	1	7	
568.0736	2.82641	0.1	0	0	6	
607.79583	2.96494	0.1	0	0	7	
652.67694	3.33523	0.1	0	0	8	
361.67321	2.15571	0.1	0	0	6	
407.16531	2.40515	0.1	0	1	6	
418.01956	2.37928	0.1	0	0	6	
356.55346	1.93296	0.1	0	0	6	
351.73666	1.84213	0.1	0	0	6	
411.0606	2.1355	0.1	0	1	6	
442.72711	2.23948	0.1	0	1	6	
373.20581	1.90585	0.1	0	0	6	
367.75274	1.93778	0.1	0	2	6	
393.14736	2.1369	0.1	0	1	6	
411.428	2.09641	0.1	0	0	7	
420.0762	2.19024	0.1	0	0	7	
416.00558	2.31469	0.1	0	1	7	
414.1947	2.28734	0.1	0	0	7	
252.84324	1.88712	0.1	0	0	6	
251.61851	1.82204	0.1	0	0	6	
242.48539	1.65539	0.1	0	0	6	
260.68875	1.64067	0.1	0	4	6	
280.19287	1.72387	0.1	0	0	6	
291.42373	1.83404	0.1	0	0	6	
263.03143	1.62876	0.1	0	0	7	
260.98242	1.65078	0.1	0	0	7	
269.94512	1.64368	0.1	0	2	7	
290.57574	1.74613	0.1	0	1	7	
295.0473	1.82049	0.1	0	0	8	
166.38325	1.49223	0.1	0	3	6	
181.99188	1.45298	0.1	0	0	6	
184.26092	1.43124	0.1	0	0	6	
183.06095	1.32695	0.1	0	1	7	
195.80534	1.39159	0.1	0	0	7	
184.67245	1.28144	0.1	0	0	7	
188.32519	1.32309	0.1	0	0	7	
189.2225	1.37049	0.1	0	3	7	
124.73795	1.21479	0.1	0	4	6	
126.86547	1.13194	0.1	0	2	7	
129.74038	1.09066	0.1	0	0	6	
132.8057	1.08277	0.1	0	0	7	
127.55181	1.01529	0.1	0	1	8	
88.6268	0.90998	0.1	0	2	7	
90.8349	0.87428	0.1	0	1	7	
09.02.2019	0:00:00					
4.97						
13.38						
550.13269	2.65785	0.1	0	0	6	
567.97674	2.77267	0.1	0	1	6	
627.04681	3.08849	0.1	0	0	6	
608.85821	3.07952	0.1	0	0	6	
617.37585	2.98165	0.1	0	0	6	
633.11407	3.08579	0.1	0	0	6	
554.57403	2.42708	0.1	0	0	6	
726.92761	3.53228	0.1	0	0	7	
598.77966	2.51322	0.1	0	1	7	
577.07824	2.69896	0.1	0	0	6	
614.50958	2.95867	0.1	0	1	7	
578.43377	2.77097	0.1	0	0	6	
607.87353	2.92336	0.1	0	0	7	
624.04742	3.20927	0.1	0	1	7	
596.22351	3.01562	0.1	0	0	7	
638.44323	3.1774	0.1	0	0	8	
687.64984	3.57939	0.1	0	0	8	
377.96447	2.27392	0.1	0	0	6	
424.92752	2.52576	0.1	0	0	6	
437.51574	2.53689	0.1	0	0	6	
373.03356	2.07416	0.1	0	0	6	
367.99761	1.99779	0.1	0	0	7	
429.05749	2.29801	0.1	0	0	7	
463.62829	2.42149	0.1	0	0	7	
390.06747	2.01194	0.1	0	0	7	
382.97088	2.10713	0.1	0	0	7	
408.31628	2.18337	0.1	0	1	7	
428.50442	2.18776	0.1	0	0	8	
438.20953	2.28936	0.1	0	0	7	
432.92169	2.45137	0.1	0	0	8	
430.07833	2.44364	0.1	0	0	8	
259.27447	1.96152	0.1	0	0	6	
258.35833	1.88708	0.1	0	0	7	
249.80931	1.69749	0.1	0	0	7	
268.82913	1.75831	0.1	0	0	7	
289.86132	1.82466	0.1	0	0	7	
300.95452	1.90425	0.1	0	0	6	
270.47827	1.69766	0.1	0	0	7	
267.51727	1.70517	0.1	0	0	7	
276.50915	1.69798	0.1	0	0	7	
297.85247	1.82708	0.1	0	0	7	
303.13085	1.90403	0.1	0	0	8	
168.55004	1.49291	0.1	0	0	6	
185.14045	1.51758	0.1	0	0	6	
188.25262	1.44013	0.1	0	0	6	
186.65721	1.3831	0.1	0	0	7	
199.51695	1.4319	0.1	0	0	7	
187.27883	1.33031	0.1	0	0	7	
190.27017	1.36024	0.1	0	0	7	
190.94088	1.35694	0.1	0	0	8	
125.52075	1.18949	0.1	0	0	7	
127.89063	1.12884	0.1	0	0	7	
130.75242	1.10927	0.1	0	0	7	
133.40257	1.10588	0.1	0	0	7	
127.59098	1.0347	0.1	0	0	8	
88.21679	0.90702	0.1	0	0	7	
90.20453	0.87937	0.1	0	0	8	
09.02.2019	6:00:00					
2.33						
12.95						
587.04193	2.83998	0.1	0	1	6	
606.36401	3.03273	0.1	0	0	7	
671.58032	3.33055	0.1	0	1	7	
651.66656	3.3324	0.1	0	0	6	
664.15496	3.25082	0.1	0	0	7	
683.20166	3.36596	0.1	0	0	7	
594.05676	2.65848	0.1	0	0	6	
790.45788	4.01215	0.1	0	0	7	
639.32806	2.81978	0.1	0	1	7	
620.82739	2.95943	0.1	0	1	7	
656.35064	3.16194	0.1	0	0	7	
614.4425	2.9437	0.1	0	0	7	
649.02056	3.12739	0.1	0	0	7	
664.63122	3.41195	0.1	0	1	7	
632.14898	3.19925	0.1	0	0	7	
682.31677	3.40812	0.1	0	0	8	
735.78466	3.84228	0.1	0	0	9	
396.74334	2.43037	0.1	0	0	6	
447.58493	2.70046	0.1	0	0	7	
462.03042	2.71214	0.1	0	0	7	
390.31225	2.19287	0.1	0	0	7	
